Month,Year,Unemployment
Feb,1971,3.8
Mar,1971,3.9
Apr,1971,4
May,1971,4.1
Jun,1971,4.1
Jul,1971,4.2
Aug,1971,4.2
Sep,1971,4.3
Oct,1971,4.4
Nov,1971,4.4
Dec,1971,4.5
Jan,1972,4.5
Feb,1972,4.5
Mar,1972,4.5
Apr,1972,4.5
May,1972,4.4
Jun,1972,4.4
Jul,1972,4.3
Aug,1972,4.3
Sep,1972,4.2
Oct,1972,4.2
Nov,1972,4.2
Dec,1972,4.1
Jan,1973,4
Feb,1973,3.9
Mar,1973,3.8
Apr,1973,3.8
May,1973,3.7
Jun,1973,3.7
Jul,1973,3.6
Aug,1973,3.6
Sep,1973,3.5
Oct,1973,3.5
Nov,1973,3.4
Dec,1973,3.4
Jan,1974,3.5
Feb,1974,3.6
Mar,1974,3.6
Apr,1974,3.6
May,1974,3.6
Jun,1974,3.6
Jul,1974,3.7
Aug,1974,3.7
Sep,1974,3.7
Oct,1974,3.7
Nov,1974,3.7
Dec,1974,3.8
Jan,1975,3.9
Feb,1975,4
Mar,1975,4.1
Apr,1975,4.2
May,1975,4.3
Jun,1975,4.5
Jul,1975,4.6
Aug,1975,4.7
Sep,1975,4.8
Oct,1975,4.9
Nov,1975,5
Dec,1975,5.1
Jan,1976,5.2
Feb,1976,5.3
Mar,1976,5.3
Apr,1976,5.4
May,1976,5.4
Jun,1976,5.4
Jul,1976,5.4
Aug,1976,5.5
Sep,1976,5.5
Oct,1976,5.5
Nov,1976,5.5
Dec,1976,5.5
Jan,1977,5.5
Feb,1977,5.5
Mar,1977,5.5
Apr,1977,5.5
May,1977,5.5
Jun,1977,5.6
Jul,1977,5.6
Aug,1977,5.7
Sep,1977,5.7
Oct,1977,5.7
Nov,1977,5.7
Dec,1977,5.7
Jan,1978,5.6
Feb,1978,5.6
Mar,1978,5.6
Apr,1978,5.6
May,1978,5.6
Jun,1978,5.5
Jul,1978,5.5
Aug,1978,5.5
Sep,1978,5.5
Oct,1978,5.4
Nov,1978,5.4
Dec,1978,5.3
Jan,1979,5.3
Feb,1979,5.4
Mar,1979,5.3
Apr,1979,5.3
May,1979,5.3
Jun,1979,5.3
Jul,1979,5.3
Aug,1979,5.4
Sep,1979,5.4
Oct,1979,5.4
Nov,1979,5.5
Dec,1979,5.6
Jan,1980,5.7
Feb,1980,5.8
Mar,1980,6
Apr,1980,6.1
May,1980,6.3
Jun,1980,6.5
Jul,1980,6.8
Aug,1980,7.1
Sep,1980,7.4
Oct,1980,7.7
Nov,1980,8
Dec,1980,8.3
Jan,1981,8.6
Feb,1981,8.9
Mar,1981,9.1
Apr,1981,9.4
May,1981,9.6
Jun,1981,9.7
Jul,1981,9.8
Aug,1981,9.9
Sep,1981,10
Oct,1981,10.1
Nov,1981,10.2
Dec,1981,10.3
Jan,1982,10.4
Feb,1982,10.4
Mar,1982,10.5
Apr,1982,10.5
May,1982,10.6
Jun,1982,10.6
Jul,1982,10.7
Aug,1982,10.8
Sep,1982,10.9
Oct,1982,11
Nov,1982,11.1
Dec,1982,11.2
Jan,1983,11.2
Feb,1983,11.3
Mar,1983,11.3
Apr,1983,11.3
May,1983,11.4
Jun,1983,11.5
Jul,1983,11.5
Aug,1983,11.5
Sep,1983,11.6
Oct,1983,11.6
Nov,1983,11.7
Dec,1983,11.7
Jan,1984,11.8
Feb,1984,11.8
Mar,1984,11.9
Apr,1984,11.9
May,1984,11.9
Jun,1984,11.8
Jul,1984,11.8
Aug,1984,11.7
Sep,1984,11.7
Oct,1984,11.7
Nov,1984,11.6
Dec,1984,11.6
Jan,1985,11.5
Feb,1985,11.5
Mar,1985,11.4
Apr,1985,11.4
May,1985,11.4
Jun,1985,11.3
Jul,1985,11.3
Aug,1985,11.3
Sep,1985,11.3
Oct,1985,11.3
Nov,1985,11.3
Dec,1985,11.3
Jan,1986,11.3
Feb,1986,11.3
Mar,1986,11.3
Apr,1986,11.3
May,1986,11.3
Jun,1986,11.4
Jul,1986,11.4
Aug,1986,11.4
Sep,1986,11.3
Oct,1986,11.3
Nov,1986,11.3
Dec,1986,11.2
Jan,1987,11.2
Feb,1987,11.1
Mar,1987,11
Apr,1987,10.9
May,1987,10.7
Jun,1987,10.6
Jul,1987,10.4
Aug,1987,10.2
Sep,1987,10
Oct,1987,9.9
Nov,1987,9.7
Dec,1987,9.5
Jan,1988,9.4
Feb,1988,9.2
Mar,1988,9
Apr,1988,8.9
May,1988,8.7
Jun,1988,8.6
Jul,1988,8.5
Aug,1988,8.4
Sep,1988,8.3
Oct,1988,8.2
Nov,1988,8
Dec,1988,7.9
Jan,1989,7.7
Feb,1989,7.6
Mar,1989,7.4
Apr,1989,7.3
May,1989,7.2
Jun,1989,7.2
Jul,1989,7.1
Aug,1989,7.1
Sep,1989,7.1
Oct,1989,7
Nov,1989,7
Dec,1989,7
Jan,1990,6.9
Feb,1990,6.9
Mar,1990,6.9
Apr,1990,6.9
May,1990,6.9
Jun,1990,6.9
Jul,1990,7
Aug,1990,7.1
Sep,1990,7.2
Oct,1990,7.3
Nov,1990,7.5
Dec,1990,7.6
Jan,1991,7.8
Feb,1991,8
Mar,1991,8.2
Apr,1991,8.5
May,1991,8.7
Jun,1991,8.8
Jul,1991,9
Aug,1991,9.2
Sep,1991,9.3
Oct,1991,9.4
Nov,1991,9.5
Dec,1991,9.5
Jan,1992,9.6
Feb,1992,9.7
Mar,1992,9.8
Apr,1992,9.8
May,1992,9.8
Jun,1992,9.9
Jul,1992,9.9
Aug,1992,9.9
Sep,1992,10.1
Oct,1992,10.2
Nov,1992,10.4
Dec,1992,10.5
Jan,1993,10.7
Feb,1993,10.6
Mar,1993,10.6
Apr,1993,10.5
May,1993,10.4
Jun,1993,10.4
Jul,1993,10.3
Aug,1993,10.2
Sep,1993,10.3
Oct,1993,10.2
Nov,1993,10.3
Dec,1993,10.3
Jan,1994,10.1
Feb,1994,9.9
Mar,1994,9.8
Apr,1994,9.7
May,1994,9.7
Jun,1994,9.6
Jul,1994,9.5
Aug,1994,9.4
Sep,1994,9.3
Oct,1994,9.1
Nov,1994,9
Dec,1994,8.9
Jan,1995,8.9
Feb,1995,8.9
Mar,1995,8.8
Apr,1995,8.8
May,1995,8.7
Jun,1995,8.7
Jul,1995,8.6
Aug,1995,8.6
Sep,1995,8.6
Oct,1995,8.6
Nov,1995,8.3
Dec,1995,8.4
Jan,1996,8.3
Feb,1996,8.2
Mar,1996,8.3
Apr,1996,8.3
May,1996,8.3
Jun,1996,8.2
Jul,1996,8.1
Aug,1996,8.1
Sep,1996,8.1
Oct,1996,8
Nov,1996,7.8
Dec,1996,7.7
