"","x"
"1","B-PA_748_aligned_1_R_0_373_0"
"2","B-PA_1000_aligned_10_F_0_360_0"
"3","B-NA_668_aligned_18_F_0_132_0"
"4","B-HA_192_aligned_26_F_0_404_0"
"5","B-HA_443_aligned_34_R_0_251_0"
"6","B-MP_435_aligned_42_F_0_201_0"
"7","B-PB2_660_aligned_50_F_0_315_0"
"8","B-PA_1075_aligned_58_F_0_368_0"
"9","B-NS_521_aligned_66_F_0_152_0"
"10","B-PB2_93_aligned_74_R_0_306_0"
"11","B-PB1_939_aligned_82_F_0_280_0"
"12","B-PA_66_aligned_90_R_0_217_0"
"13","B-HA_302_aligned_98_F_0_252_0"
"14","B-PA_231_aligned_106_F_0_186_0"
"15","B-PB2_490_aligned_114_F_0_264_0"
"16","B-NP_1187_aligned_122_R_0_248_0"
"17","B-PA_1537_aligned_130_R_0_314_0"
"18","B-PB1_1662_aligned_138_F_0_125_0"
"19","B-HA_512_aligned_145_R_0_177_0"
"20","B-PB2_748_aligned_153_F_0_330_0"
"21","B-PB1_556_aligned_160_R_0_120_0"
"22","B-NS_300_aligned_171_R_0_362_0"
"23","B-NP_630_aligned_178_R_0_289_0"
"24","B-NP_1125_aligned_186_R_0_198_0"
"25","B-PB2_335_aligned_194_F_0_159_0"
"26","B-PA_1682_aligned_202_F_0_219_0"
"27","B-NP_877_aligned_209_F_0_143_0"
"28","B-NA_592_aligned_218_R_0_306_0"
"29","B-NP_369_aligned_226_R_0_245_0"
"30","B-NP_364_aligned_235_F_0_285_0"
"31","B-NS_665_aligned_243_R_0_278_0"
"32","B-PA_1612_aligned_251_R_0_226_0"
"33","B-MP_286_aligned_258_F_0_387_0"
"34","B-NA_863_aligned_266_F_0_288_0"
"35","B-PB1_1242_aligned_273_R_0_260_0"
"36","B-NA_1132_aligned_282_F_0_273_0"
"37","B-PB1_1067_aligned_289_F_0_124_0"
"38","B-PB1_1024_aligned_296_F_0_125_0"
"39","B-PA_576_aligned_303_R_0_276_0"
"40","B-MP_831_aligned_311_R_0_228_0"
"41","B-PB2_1526_aligned_317_F_0_235_0"
"42","B-PB1_1288_aligned_325_R_0_123_0"
"43","B-PB2_520_aligned_332_R_0_387_0"
"44","B-PB2_1979_aligned_343_F_0_289_0"
"45","B-PA_520_aligned_354_R_0_362_0"
"46","B-PB2_1061_aligned_362_R_0_164_0"
"47","B-NA_1008_aligned_370_R_0_207_0"
"48","B-HA_566_aligned_378_R_0_301_0"
"49","B-NP_748_aligned_386_F_0_147_0"
"50","B-PA_1246_aligned_394_F_0_210_0"
"51","B-NS_245_aligned_404_F_0_155_0"
"52","B-PB2_472_aligned_413_F_0_294_0"
"53","B-PB2_1662_aligned_423_R_0_347_0"
"54","B-HA_992_aligned_431_R_0_327_0"
"55","B-HA_1420_aligned_438_R_0_298_0"
"56","B-HA_226_aligned_446_F_0_200_0"
"57","B-PB2_1954_aligned_453_R_0_226_0"
"58","B-PB2_81_aligned_460_R_0_218_0"
"59","B-PA_1821_aligned_468_R_0_344_0"
"60","B-HA_695_aligned_478_F_0_395_0"
"61","B-PA_1808_aligned_486_R_0_202_0"
"62","B-NS_629_aligned_494_R_0_214_0"
"63","B-PA_1332_aligned_502_F_0_360_0"
"64","B-PB1_657_aligned_509_F_0_355_0"
"65","B-NP_861_aligned_517_R_0_216_0"
"66","B-MP_791_aligned_524_F_0_228_0"
"67","B-NA_549_aligned_532_F_0_312_0"
"68","B-PB2_787_aligned_541_F_0_399_0"
"69","B-NA_308_aligned_549_R_0_299_0"
"70","B-NS_840_aligned_556_F_0_178_0"
"71","B-PB1_758_aligned_563_F_0_263_0"
"72","B-PB1_1067_aligned_572_F_0_358_0"
"73","B-PB2_394_aligned_582_R_0_148_0"
"74","B-PA_251_aligned_591_R_0_334_0"
"75","B-NS_235_aligned_597_R_0_229_0"
"76","B-NS_226_aligned_605_F_0_292_0"
"77","B-PB2_1761_aligned_619_R_0_193_0"
